ESTACION,LATITUD,LONGITUD
MONTEGRANDE,-7.22499,-79.15323
YONAN GORE,-7.25592,-79.09908
QUEROCOTILLO,-6.27366,-79.03696
PUENTE  MAYGASBAMBA,-6.67411,-78.52437
QUEBRADA SHUGAR,-6.68778,-78.45694
CHUGUR,-6.66878,-78.738
CACAO,-5.8837,-78.9625
EL LIMON,-5.91778,-79.31722
HACIENDA PUCARA,-6.04167,-79.13389
SAN MIGUEL,-5.24006,-78.91138
COCHALAN,-5.4654,-78.9888
COCHALAN,-5.4651,-78.9885
TABACONAS,-5.32221,-79.28779
LIVES,-7.0802,-79.04045
CIRATO,-6.65579,-79.07395
CHANCAY BAÑOS,-6.575,-78.86722
SALCCA,-14.16997,-71.23187
CHACLLABAMBA,-13.10855,-71.72
CHONTACHACA,-13.02389,-71.46778
HUANCALPI,-12.58029,-75.24179
HUACHOS,-13.2206,-75.53348
SAN JUAN DE CASTROVIRREYNA,-13.21198,-75.62758
CHOCLOCOCHA,-13.1588,-75.07145
PAUCARBAMBA,-12.55573,-74.53592
CORDOVA,-14.04061,-75.18698
TUNEL CERO,-13.25932,-75.08596
CUSICANCHA,-13.50399,-75.29625
CHALLACA PLU,-13.7896,-75.40029
CHALLACA,-13.79047,-75.38212
SANTIAGO DE CHOCORVOS,-13.83308,-75.25083
TAMBO,-13.69163,-75.27418
CHINCHAVITO,-9.515,-75.9425
TARUCA,-9.85038,-76.15236
HUERTAS,-10.1265,-76.20511
JACAS GRANDE,-9.5433,-76.76042
PUENTE BELLA,-9.32411,-76.02935
PUENTE PEREZ,-9.34694,-75.9825
HUAMANI EL TAMBO,-13.84358,-75.58928
LOS MOLINOS,-13.9248,-75.6786
CONTA,-13.43942,-75.97514
HUALLPOCA,-14.632,-74.9559
MADRIGAL,-15.60999,-71.80654
SUMBAY,-15.8412,-71.1146
PILLONES,-15.98124,-71.2167
PUENTE COLGANTE-SIBAYO,-15.4942,-71.4637
PORPERA,-15.3142,-71.3064
TISCO,-15.34577,-71.44702
CHICHAS,-15.54811,-72.91831
SALAMANCA,-15.5033,-72.8318
YANAQUIHUA,-15.77649,-72.87584
LA HACIENDITA,-16.9986,-71.6008
CUYAU,-15.2182,-72.9359
PULLHUAY (AYAHUASI),-15.1459,-72.7439
PUYCA,-15.06055,-72.69262
HUANCASANCOS,-13.91694,-74.33361
HUANTA,-12.9113,-74.2832
HUASAPAMPA,-14.26667,-73.95
LLAUTA,-14.2466,-74.9255
LUCANAS,-14.6204,-74.2328
LAMPA,-15.18468,-73.34786
CHILCAYOC,-13.883,-73.7268
AYLAMBO,-7.19345,-78.51012
LA VICTORIA,-7.19119,-78.45947
CHOTANO LAJAS,-6.5622,-78.7389
CASCABAMBA,-7.38332,-78.73377
OCROS,-10.40457,-77.40025
CAHUA,-10.606,-77.34389
NUEVO PACHACOTO,-9.85242,-77.40607
CHIRIACO,-5.16144,-78.28806
SANTA MARIA DE NIEVA,-4.83039,-77.93928
EL PINTOR,-5.7562,-78.52286
MAGUNCHAL,-5.8904,-78.1891
MAGUNCHAL,-5.8898,-78.1886
EL PALTO,-6.00039,-78.47097
SAN PEDRO,-9.60776,-77.50963
CHACCHAN,-9.53519,-77.77536
PIRA,-9.58528,-77.70719
MAYORARCA,-10.15775,-77.34889
BUENA VISTA,-9.43371,-78.20825
CUNYAC,-13.56334,-72.57594
CHARCANI,-16.3109,-71.4949
LAS SALINAS,-16.3206,-71.1521
EL FRAYLE,-16.15482,-71.1891
PATAHUASI-AREQUIPA,-16.05542,-71.41481
PAMPA DE ARRIEROS,-16.0665,-71.5914
AYO,-15.6833,-72.2704
CHACHAS,-15.5025,-72.2686
GORGOR,-10.62136,-77.04027
ARAHUAY,-11.62091,-76.67034
HUAMANTANGA,-11.50247,-76.74675
HUAROS,-11.40743,-76.5758
PARIACANCHA,-11.39315,-76.50244
PARIACANCHA,-11.39315,-76.50294
LACHAQUI,-11.554,-76.62706
OBRAJILLO,-11.45264,-76.62206
PIRCA,-11.2328,-76.65513
AMAZONAS,-3.76668,-73.25308
PUENTE ITAYA,-4.22513,-73.48251
PUERTO ALMENDRA,-3.82743,-73.37741
SAN ROQUE,-3.78667,-73.29333
SEDA LORETO,-3.7528,-73.281
MORALILLO,-3.89967,-73.33833
ANGAMOS,-5.1512,-72.8752
ANGAMOS,-5.1498,-72.8771
BORJA,-4.4696,-77.5483
PUENTE INAMBARI,-13.18638,-70.38401
EL ESTRECHO,-2.453,-72.6812
EL ESTRECHO,-2.4467,-72.6643
SANTA CRUZ,-11.19827,-76.63487
ANTIOQUIA,-12.07773,-76.51359
CARAMPOMA,-11.65503,-76.51514
SHEQUE,-11.66095,-76.5023
MILLOC,-11.57046,-76.35017
MILLOC,-11.57131,-76.34995
CASAPALCA,-11.63804,-76.23332
RIO BLANCO,-11.73447,-76.25967
LANGA,-12.12645,-76.42108
AUTISHA,-11.73815,-76.61103
AUTISHA,-11.73523,-76.60659
SAN JOSE DE PARAC,-11.80053,-76.25811
SAN MATEO DE OTAO,-11.847,-76.5636
HUANCATA,-12.18618,-76.24066
SANTIAGO DE TUNA,-11.9832,-76.5242
AMBAR,-10.75484,-77.2668
PAMPA LIBRE,-10.86578,-76.97
PACHAMACHAY,-11.06525,-76.9141
PACCHO,-10.95602,-76.93473
PARQUIN,-10.96665,-76.71983
LAGUNA SURASACA,-10.5213,-76.7885
LAGUNA SURASACA,-10.5238,-76.7867
LAGUNA COCHAQUILLO,-10.80394,-76.65537
OYON,-10.66769,-76.7687
ANDAJES,-10.78333,-76.9
YAURICOCHA,-12.31478,-75.71209
AYAVIRI,-12.38208,-76.13672
CARANIA,-12.3444,-75.87215
VILCA,-12.11457,-75.82617
HUAÑEC,-12.29359,-76.13902
SAN PEDRO DE PILAS,-12.4548,-76.22559
TANTA,-12.11667,-76.01667
AMAZONAS,-3.76397,-73.25492
SANTA MARIA DE NANAY,-3.8891,-73.6961
MANITI,-3.5203,-72.8409
TIMICURILLO,-3.5237,-73.0834
BELLAVISTA,-3.4786,-73.068
BELLAVISTA,-3.4788,-73.068
LA LIBERTAD,-3.4863,-73.2337
LA LIBERTAD,-3.4863,-73.2339
SANTA CRUZ,-3.5169,-73.1526
SANTA CRUZ,-3.51725,-73.15411
SANTA CLOTILDE,-2.48757,-73.67919
SANTA CLOTILDE,-2.487,-73.679
SANTO TOMAS PUNCHANA,-3.69279,-73.25625
ENAPU PERU,-3.72722,-73.23694
SHANUSI,-6.06703,-76.2505
LAGUNAS,-5.2194,-75.6661
BORJA,-4.47,-77.548
NAUTA,-4.5146,-73.5831
SAN REGIS,-4.51301,-73.90751
SAN REGIS,-4.5132,-73.9076
SANTA RITA DE CASTILLA,-4.5922,-74.3806
 PUERTO ALEGRIA,-4.11491,-70.05391
SANTA ROSA,-4.22636,-69.95629
SANTA ROSA,-4.2242,-69.9535
REQUENA,-5.04308,-73.83612
REQUENA,-5.0411,-73.84
FLOR DE PUNGA,-5.4077,-74.1569
FLOR DE PUNGA,-5.4055,-74.1591
TAMANCO,-5.7921,-74.289
BRETAÑA,-5.2539,-74.3444
BAGAZAN,-4.724,-73.5321
GENARO HERRERA,-4.902,-73.6715
CONTAMANA,-7.3518,-75.0109
CONTAMANA,-7.3526,-75.0064
PAMPA UMALZO (TITIJONES),-16.8439,-70.5494
TUMILACA,-17.1277,-70.8369
OTORA,-17.0073,-70.8536
OTORA,-17.0041,-70.8504
ICHUÑA,-16.14109,-70.5427
ENTAZ,-10.72244,-75.26238
MIRAFLORES,-5.17528,-80.61654
PORCULLA,-5.83964,-79.50572
HACIENDA SHUMAYA,-5.36492,-79.36056
TULUCE,-5.47718,-79.34742
SONDORILLO,-5.33922,-79.41575
HACIENDA BIGOTE,-5.3209,-79.7857
ALAMOR,-4.47749,-80.3979
ALAMOR,-4.47401,-80.39915
PANANGA,-4.51556,-80.73945
MUELLE LAGO,-15.83361,-70.01694
PROGRESO,-14.6717,-70.3678
DESAGUADERO,-16.56327,-69.03682
CALLACAME,-16.57225,-69.31697
CAPAZO,-17.1827,-69.7391
COJATA,-15.0118,-69.3612
RAMIS,-15.2558,-69.8739
TARACO,-15.31167,-69.97247
SANTA LUCIA,-15.6941,-70.5993
PUENTE AYAVIRI,-14.89249,-70.58544
SANTA ROSA,-14.6178,-70.79278
CHUQUIBAMBILLA,-14.7879,-70.7285
ISLA SOTO,-15.56221,-69.48898
JULIACA,-15.4441,-70.2078
PUENTE ISLA CABANILLAS,-15.4718,-70.224
LAMPA,-15.4437,-70.2092
CUYO CUYO,-14.4888,-69.55
LIMBANI,-14.1397,-69.687
LIMBANI,-14.1481,-69.6902
TAMBOPATA,-14.22529,-69.16178
ISLA SUANA,-16.3299,-68.85034
JOSE OLAYA,-7.40711,-76.41389
CUZCO-BIAVO,-7.25442,-76.4771
BIAVO,-7.25497,-76.47778
LA UNION,-7.16319,-76.49275
NUEVO LIMA,-7.09628,-76.47233
CUÑUMBUQUE,-6.50825,-76.48075
SHANAO,-6.41312,-76.60028
SHANAO,-6.41291,-76.60001
PACAYZAPA,-6.2818,-76.76171
HUAYABAMBA,-7.26356,-76.73494
CAMPANILLA,-7.48434,-76.65311
PICOTA,-6.91989,-76.33022
NARANJILLO,-5.80964,-77.39264
PELEJO,-6.21531,-75.8025
PUCALLPA - HUIMBAYOC,-6.45278,-75.84556
CUMBAZA,-6.47251,-76.38199
SAN ANTONIO,-6.41274,-76.4072
CANAL UCHUSUMA,-17.5807,-69.6264
BOCATOMA,-17.5802,-69.62672
PAUCARANI,-17.53291,-69.78039
CAIRANI,-17.28121,-70.36269
ARICOTA,-17.32913,-70.23731
CHUAPALCA ALTERNATIVA ALTA,-17.28727,-69.6435
CHUAPALCA,-17.2981,-69.6468
LA FRONTERA,-17.3824,-69.4864
CHUAPALCA,-17.3088,-69.6618
TALABAYA,-17.5526,-69.9868
VILACOTA,-17.07906,-70.04302
VILACOTA,-17.0786,-70.0424
CABO INGA,-3.97594,-80.40182
EL SALTO,-3.45171,-80.2802
MATAPALO,-3.68277,-80.19857
PUCALLPA,-8.41323,-74.57185
EL MARONAL,-8.44999,-75.09681
LETRAYOC,-13.65773,-75.74496
HUANCANO,-13.60118,-75.62102
ACOPALCA,-11.9873,-75.1035
CHIRANI,-10.86167,-75.00632
CHIRANI,-10.86167,-75.00632
PUERTO OCOPA,-11.1467,-74.3051
CARHUACAYAN,-11.20267,-76.28505
RIO PALLANGA,-11.1865,-76.32569
RUMICHACA,-11.69886,-76.10639
YAULI,-11.66667,-76.08333
JULCAN,-8.04229,-78.48607
SINSICAP,-7.85021,-78.75503
PUENTE COINA,-7.79636,-78.38012
TALLA (GUADALUPE),-7.28005,-79.4191
HUANGACOCHA,-7.9375,-78.0681
LAGUNA HUANGACOCHA,-7.9325,-78.06705
MOLLEPATA,-8.19137,-77.95397
HUACAMARCANGA,-8.1221,-78.2937
HUACAMARCANGA,-8.1081,-78.2876
QUIRUVILCA,-8.00422,-78.30791
PUENTE PALMIRA,-7.54919,-78.81051
EL TAMBO,-7.57398,-78.70655
TINAJONES,-6.65493,-79.4279
INCAHUASI,-6.23389,-79.31806
CUEVA BLANCA,-6.1313,-79.4045
PUCHACA,-6.37361,-79.46951
PUCHACA,-6.37317,-79.46697
CERRO DE ARENA,-5.92461,-80.20463
PASAJE SUR,-5.91741,-79.97184
CUTERVO,-6.37964,-78.80512
LLAUCANO CORELLAMA,-6.68656,-78.51823
BAMBAMARCA,-6.67655,-78.51834
JAEN,-5.67664,-78.77416
LA CASCARILLA,-5.67175,-78.89767
CHONTALI,-5.64389,-79.09
SALLIQUE,-5.65886,-79.31264
SAN IGNACIO,-5.14708,-78.99512
CHIRINOS,-5.3085,-78.89759
NAMBALLE,-4.99953,-79.08862
TABACONAS,-5.31515,-79.28488
SAN MARCOS,-7.32249,-78.1727
SONDOR-MATARA,-7.23687,-78.21262
SAN MIGUEL,-6.99684,-78.85308
QUILCATE,-6.82275,-78.744
LLAPA,-6.97833,-78.81119
NIEPOS,-6.92511,-79.12902
SAN PABLO,-7.11775,-78.83083
SANTA CRUZ,-6.61657,-78.94761
UDIMA,-6.81474,-79.09377
GRANJA KAYRA,-13.55675,-71.87517
POMACANCHI,-14.02781,-71.57258
PUENTE CUNYAC,-13.563,-72.5752
ANTA ANCACHURO,-13.47242,-72.21876
PISAC,-13.41951,-71.85087
PISAC,-13.4226,-71.8539
QUEBRADA YANATILE,-12.6788,-72.2785
SICUANI,-14.23736,-71.2367
SALCCA,-14.16963,-71.23172
SANTO TOMAS,-14.39878,-72.08774
PARURO,-13.76698,-71.8447
PAUCARTAMBO,-13.3177,-71.5974
PAUCARTAMBO,-13.30347,-71.59668
CAICAY,-13.59999,-71.69581
CHACLLABAMBA,-13.10677,-71.7203
CHALLABAMBA,-13.21754,-71.64938
COLQUEPATA,-13.36313,-71.67336
QUINCEMIL,-13.22893,-70.7544
CCATCCA,-13.60988,-71.5601
URUBAMBA,-13.30517,-72.12455
MACHU PICCHU,-13.16655,-72.54585
PILCHACA,-12.39939,-75.08412
ACOBAMBA,-12.84361,-74.5616
LIRCAY,-12.9815,-74.7181
CHALLACA,-13.78333,-75.4
ACOSTAMBO,-12.36079,-75.05725
PAMPAS,-12.40203,-74.88414
COLCABAMBA,-12.415,-74.6835
SALCABAMBA,-12.204,-74.7794
CANCHAN,-9.92095,-76.30962
PUENTE HIGUERAS,-9.9222,-76.30938
HUANUCO,-9.95201,-76.24856
CARPISH,-9.70568,-76.09424
SAN RAFAEL,-10.3399,-76.1824
SAN RAFAEL,-10.32926,-76.17658
DOS DE MAYO,-9.7171,-76.77374
TINGO MARIA,-9.31016,-76.00049
TINGO MARIA,-9.29601,-76.00207
LA DIVISORIA,-9.20091,-75.81393
AUCAYACU,-8.92987,-76.11171
TULUMAYO,-9.14706,-76.00944
CHAGLLA,-9.85008,-75.90706
PUERTO INCA,-9.38271,-74.96792
PUERTO INCA,-9.3851,-74.96376
TOURNAVISTA,-8.92749,-74.70882
JACAS CHICO,-9.88474,-76.50094
TACAMA,-13.99978,-75.72052
OCUCAJE,-14.37844,-75.68208
SAN CAMILO,-14.07331,-75.71101
LOS MOLINOS (ALEJANDRO PLAZA GARCIA),-13.92475,-75.67869
HUAMANI,-13.843,-75.60704
FONAGRO (CHINCHA),-13.45781,-76.13425
SAN JUAN DE YANAC,-13.21058,-75.78697
SAN PEDRO DE HUACARPANA,-13.0479,-75.6464
HUALLPOCA,-14.63201,-74.95588
COPARA,-14.97501,-74.89082
PALPA,-14.54939,-75.18926
IMATA,-15.84266,-71.09062
SIBAYO,-15.4892,-71.45696
CHUQUIBAMBA,-15.84602,-72.65065
SALAMANCA,-15.50294,-72.83202
LA PASCANA,-16.99936,-71.63879
PAMPA BLANCA,-17.0716,-71.7245
COTAHUASI,-15.21134,-72.89325
MARCELINO SERNA (PAMPAS),-13.43453,-73.82791
WAYLLAPAMPA,-13.0765,-74.21651
LA QUINUA,-13.05548,-74.14159
SAN PEDRO DE CACHI,-13.08742,-74.39067
PUQUIO,-14.69928,-74.1316
HUAC-HUAS,-14.1324,-74.941
LLAUTA,-14.23998,-74.92135
CORACORA,-15.01194,-73.77945
PAUZA,-15.2753,-73.3411
PAUCARAY,-14.0439,-73.6386
HUANCAPI,-13.749,-74.0681
VILCASHUAMAN,-13.66882,-73.95238
MASHCON,-7.165,-78.47833
GRANJA PORCON,-7.03753,-78.6334
AUGUSTO WEBERBAUER,-7.1675,-78.49309
ASUNCION,-7.32604,-78.51582
COSPAN,-7.42857,-78.54106
LA ENCAÑADA,-7.12327,-78.33314
JESUS TUNEL,-7.22064,-78.40376
JESUS,-7.2457,-78.38841
MAGDALENA,-7.25346,-78.65261
NAMORA BOCATOMA,-7.24262,-78.29472
NAMORA,-7.2006,-78.32782
SAN JUAN,-7.29756,-78.49106
CAJABAMBA,-7.62166,-78.05131
CACHACHI,-7.45106,-78.26855
PUENTE CRISNEJAS,-7.46354,-78.11313
CELENDIN,-6.85292,-78.14485
BALZAS,-6.84465,-78.03024
CHOTA,-6.54713,-78.64863
COCHABAMBA,-6.46009,-78.8886
HUAMBOS,-6.45368,-78.96315
CHOTANO LAJAS,-6.55972,-78.74111
LLAMA,-6.51443,-79.12262
TOCMOCHE,-6.4101,-79.3557
CONTUMAZA,-7.36521,-78.82273
PUENTE CHILETE,-7.21969,-78.83799
CHILETE,-7.21968,-78.83799
SAN BENITO,-7.42819,-78.92673
HUARMEY,-10.06812,-78.16232
MALVAS,-9.92723,-77.65519
PISCOBAMBA II,-8.87045,-77.35072
CABANA,-8.39058,-78.00461
POMABAMBA,-8.8217,-77.45733
RECUAY,-9.72919,-77.45365
CHACHAPOYAS,-6.2083,-77.86712
ARAMANGO,-5.41994,-78.43553
JAZAN,-5.94485,-77.97569
LOS NARANJOS,-5.75568,-78.43154
BAGUA CHICA,-5.66148,-78.53396
JAMALCA,-5.8927,-78.2339
CAJAMARQUILLA,-9.63204,-77.74136
PARIACOTO,-9.55239,-77.88761
AIJA,-9.78164,-77.60674
CHIQUIAN,-10.14763,-77.15949
CHAVIN,-9.58598,-77.17526
CHAMANA,-10.20739,-77.55872
SIHUAS,-8.56667,-77.65
YUNGAY,-9.14189,-77.74998
CURAHUASI,-13.55253,-72.73487
GRANJA SAN ANTONIO,-13.6049,-72.8569
ANDAHUAYLAS,-13.64863,-73.36679
AYMARAES,-14.29056,-73.25168
TAMBOBAMBA,-13.94492,-72.17522
PAMPAS,-13.43488,-73.82427
CURPAHUASI,-14.0628,-72.6669
LA PAMPILLA,-16.4138,-71.53453
CHIGUATA,-16.40644,-71.40913
HUASACACHE,-16.45774,-71.56635
TINGO GRANDE,-16.45992,-71.57431
PUENTE DEL DIABLO,-16.42679,-71.67503
LA JOYA,-16.58359,-71.92464
HACIENDA PAMPATA,-16.54193,-72.69957
OCOÑA,-16.427,-73.1145
CAMANA,-16.64395,-72.70432
CARAVELI,-15.77568,-73.36259
PUNTA ATICO,-16.2317,-73.6964
CHAPARRA,-15.74765,-73.87089
LOMAS,-15.57119,-74.8503
HUATIAPA,-16.00806,-72.48355
APLAO,-16.07288,-72.49226
ANDAGUA,-15.5009,-72.3551
CHOCO,-15.5771,-72.1296
MACHAHUAY,-15.65321,-72.50322
ORCOPAMPA,-15.2639,-72.341
PAMPACOLCA,-15.7167,-72.5683
CHIVAY,-15.64163,-71.60169
CABANACONDE,-15.6226,-71.97409
CAYLLOMA,-15.18882,-71.77019
HUAMBO,-15.73201,-72.10693
HUANCA,-16.03458,-71.88108
CAJATAMBO,-10.47788,-76.98971
CANTA,-11.47121,-76.62569
OBRAJILLO,-11.45293,-76.62217
PUENTE MAGDALENA,-11.69463,-76.83719
LA CAPILLA,-12.52194,-76.49637
SOCSI CAÑETE,-13.03051,-76.20027
SOCSI,-13.0283,-76.19453
PACARAN,-12.86689,-76.05793
PACARAN,-12.86096,-76.05479
HUAYAN,-11.45281,-77.122
SANTO DOMINGO,-11.37009,-77.02823
PAMPA DE MAJES,-16.3357,-72.1525
HUANCAVELICA,-12.7715,-75.0124
PUERTO ALMENDRA,-3.8286,-73.377
LA YARADA,-18.2107,-70.5259
MATUCANA,-11.83913,-76.37792
ANTAPUCRO,-12.0314,-76.62437
RIO BLANCO,-11.7345,-76.25938
HUAROCHIRI,-12.13886,-76.23429
SAN LAZARO DE ESCOMARCA,-12.18088,-76.35207
SAN MATEO DE HUANCHOR,-11.76017,-76.301
SAN MATEO,-11.76012,-76.30111
SANTA EULALIA,-11.92,-76.66664
SANTA EULALIA,-11.91984,-76.66678
UNJF SANCHEZ CARRION - HUACHO,-11.12386,-77.60603
LOMAS DE LACHAY,-11.36014,-77.36839
ALCANTARILLA,-11.06068,-77.55011
PICOY,-10.92162,-76.73701
PICOY,-10.92164,-76.7367
SAYAN,-11.13476,-77.19832
CAMAY,-10.91294,-77.6489
YAUYOS,-12.49173,-75.91039
HUANGASCAR,-12.89858,-75.83365
TAMSHIYACU,-4.00356,-73.16112
TAMSHIYACU,-4.00316,-73.1614
FRANCISCO ORELLANA,-3.42333,-72.76667
MAZAN,-3.48817,-73.08182
PUNCHANA,-3.6903,-73.2556
